City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Port Alfred,ZA,2022-04-04 20:40:31,-33.5906,26.891,61.18,88,0,1.01
30,Atuona,PF,2022-04-04 20:40:31,-9.8,-139.0333,79.68,75,10,22.84
31,Frontera,MX,2022-04-04 20:40:32,26.9333,-101.45,96.33,22,0,12.66
32,Busselton,AU,2022-04-04 20:40:32,-33.65,115.3333,52.02,82,0,9.01
33,Kalmunai,LK,2022-04-04 20:40:32,7.4167,81.8167,77.05,86,40,4.07
34,Tiksi,RU,2022-04-04 20:40:34,71.6872,128.8694,-7.42,100,100,5.06
35,Terrace,CA,2022-04-04 20:35:59,54.5163,-128.6035,39.11,75,100,3.44
36,Punta Arenas,CL,2022-04-04 20:40:36,-53.15,-70.9167,41.11,75,20,24.16
37,Ialibu,PG,2022-04-04 20:40:38,-6.2821,143.9935,56.82,98,100,2.37
38,Georgetown,MY,2022-04-04 20:35:45,5.4112,100.3354,78.73,93,20,8.05
39,Chokurdakh,RU,2022-04-04 20:40:39,70.6333,147.9167,-15.27,100,92,8.41
40,Pervomayskoye,RU,2022-04-04 20:40:39,43.919,46.7102,44.37,73,6,1.68
41,Baton Rouge,US,2022-04-04 20:37:20,30.4508,-91.1545,83.91,57,40,6.91
42,Kapaa,US,2022-04-04 20:40:40,22.0752,-159.319,78.78,76,40,16.11
43,Luohe,CN,2022-04-04 20:40:40,33.5717,114.0353,57.02,64,100,8.03
44,Luderitz,NA,2022-04-04 20:40:41,-26.6481,15.1594,59.86,83,0,6.85
45,Chatrapur,IN,2022-04-04 20:40:41,19.35,84.9833,77.81,91,30,16.31
46,Phalombe,MW,2022-04-04 20:40:42,-15.8064,35.6507,67.08,96,63,1.39
47,Saint-Georges,GD,2022-04-04 20:40:42,12.0564,-61.7485,83.88,70,20,20.71
48,Sangmelima,CM,2022-04-04 20:40:43,2.9333,11.9833,68.99,95,56,1.41
49,Hilo,US,2022-04-04 20:40:43,19.7297,-155.09,74.62,87,100,3.44
50,Severo-Kurilsk,RU,2022-04-04 20:38:29,50.6789,156.125,36.27,84,4,9.6
51,Mindelo,CV,2022-04-04 20:40:44,16.8901,-24.9804,71.15,68,75,17.27
52,Hithadhoo,MV,2022-04-04 20:40:44,-0.6,73.0833,82.74,68,38,3.09
53,Barrow,US,2022-04-04 20:40:45,71.2906,-156.7887,-5.78,71,100,17.27
54,Mangrol,IN,2022-04-04 20:40:45,21.1167,70.1167,77.95,74,3,11.16
55,Kimbe,PG,2022-04-04 20:40:45,-5.5502,150.1429,76.57,92,100,1.34
56,Tehachapi,US,2022-04-04 20:40:46,35.1322,-118.449,73.04,41,46,14.0
57,Navahrudak,BY,2022-04-04 20:40:46,53.6,25.8333,32.88,82,100,19.98
58,Rikitea,PF,2022-04-04 20:40:47,-23.1203,-134.9692,78.19,60,6,12.46
59,Avarua,CK,2022-04-04 20:37:43,-21.2078,-159.775,82.45,74,40,4.61
60,Wasilla,US,2022-04-04 20:40:47,61.5814,-149.4394,40.35,58,100,5.75
61,Phan Thiet,VN,2022-04-04 20:40:48,10.9333,108.1,77.14,75,34,5.5
62,Acolla,PE,2022-04-04 20:40:48,-11.7319,-75.5463,56.14,62,85,7.02
63,Khatanga,RU,2022-04-04 20:40:49,71.9667,102.5,-30.53,100,38,3.8
64,Arraial Do Cabo,BR,2022-04-04 20:38:22,-22.9661,-42.0278,84.16,78,0,11.5
65,Roma,US,2022-04-04 20:40:50,43.2128,-75.4557,45.82,67,100,9.22
66,Port Elizabeth,ZA,2022-04-04 20:40:50,-33.918,25.5701,63.1,80,0,9.22
67,Saint George,US,2022-04-04 20:36:58,37.1041,-113.5841,78.8,16,0,10.0
68,Hobyo,SO,2022-04-04 20:40:51,5.3505,48.5268,81.21,72,100,11.25
69,Namatanai,PG,2022-04-04 20:40:51,-3.6667,152.4333,80.31,82,94,7.38
70,Pekan,MY,2022-04-04 20:40:52,3.4836,103.3996,77.11,86,70,4.38
71,Ibipeba,BR,2022-04-04 20:40:52,-11.6408,-42.0111,80.96,47,85,12.46
72,Mlonggo,ID,2022-04-04 20:40:53,-6.5333,110.7,77.34,82,79,6.02
73,Namibe,AO,2022-04-04 20:40:04,-15.1961,12.1522,69.85,80,82,7.49
74,Bend,US,2022-04-04 20:37:15,44.0582,-121.3153,46.09,64,40,15.01
75,Mehamn,NO,2022-04-04 20:40:53,71.0357,27.8492,19.31,74,95,7.27
76,Belaya Gora,RU,2022-04-04 20:40:54,68.5333,146.4167,-10.75,98,100,3.24
77,Pangody,RU,2022-04-04 20:40:54,65.85,74.4859,33.15,100,100,8.63
78,Tonj,SS,2022-04-04 20:40:55,7.2737,28.6822,84.88,43,52,3.11
79,Oktyabrskiy,RU,2022-04-04 20:40:55,54.4815,53.471,33.37,84,89,15.95
80,Kaliua,TZ,2022-04-04 20:40:56,-5.0606,31.7936,68.68,82,94,3.15
81,Roald,NO,2022-04-04 20:40:56,62.5833,6.1333,37.76,75,100,3.44
82,Agustin Codazzi,CO,2022-04-04 20:40:57,10.0341,-73.2361,87.78,56,30,3.44
83,Sompeta,IN,2022-04-04 20:40:58,18.9333,84.6,76.95,91,20,11.61
84,Fortuna,US,2022-04-04 20:39:53,40.5982,-124.1573,54.66,94,100,1.01
85,Binzhou,CN,2022-04-04 20:39:08,37.3667,118.0167,55.0,65,100,8.14
86,Taphan Hin,TH,2022-04-04 20:40:59,16.2209,100.4198,74.82,56,97,3.11
87,Bethel,US,2022-04-04 20:39:52,41.3712,-73.414,56.01,43,20,11.5
88,Ndungu,TZ,2022-04-04 20:40:59,-4.3667,38.05,72.81,95,55,2.3
89,Kodiak,US,2022-04-04 20:41:00,57.79,-152.4072,38.71,52,0,14.97
90,Flinders,AU,2022-04-04 20:41:00,-34.5833,150.8552,60.06,83,0,3.0
91,San Cristobal,VE,2022-04-04 20:37:38,7.7669,-72.225,80.78,53,100,5.53
92,Lakes Entrance,AU,2022-04-04 20:41:01,-37.8811,147.981,49.15,87,40,8.57
93,Colon,PA,2022-04-04 20:41:01,9.3592,-79.9014,81.1,100,100,8.01
94,Ammon,US,2022-04-04 20:41:01,43.4696,-111.9666,45.1,74,100,32.21
95,Mahebourg,MU,2022-04-04 20:39:59,-20.4081,57.7,79.25,89,75,9.22
96,East London,ZA,2022-04-04 20:41:02,-33.0153,27.9116,66.43,82,55,10.83
97,Nome,US,2022-04-04 20:41:02,64.5011,-165.4064,17.67,45,0,13.8
98,Whitianga,NZ,2022-04-04 20:41:03,-36.8333,175.7,68.45,78,98,6.85
99,Skala,PL,2022-04-04 20:41:03,50.2305,19.8536,40.08,62,0,16.11
100,Garhi Khairo,PK,2022-04-04 20:41:04,28.0606,67.9803,84.83,7,100,3.02
101,Longyearbyen,SJ,2022-04-04 20:41:04,78.2186,15.6401,10.24,56,11,20.71
102,Lagoa,PT,2022-04-04 20:41:05,39.05,-27.9833,59.05,69,100,6.33
103,Petropavlovsk-Kamchatskiy,RU,2022-04-04 20:41:05,53.0452,158.6483,21.79,74,75,4.47
104,Pali,IN,2022-04-04 20:41:06,25.7667,73.3333,79.12,19,6,1.5
105,Tuktoyaktuk,CA,2022-04-04 20:41:06,69.4541,-133.0374,-14.8,70,75,9.22
106,Kahului,US,2022-04-04 20:41:07,20.8947,-156.47,80.96,60,20,16.11
107,Isangel,VU,2022-04-04 20:41:07,-19.55,169.2667,81.28,80,99,6.51
108,Buraydah,SA,2022-04-04 20:41:07,26.326,43.975,79.25,10,32,9.31
109,Makakilo City,US,2022-04-04 20:37:28,21.3469,-158.0858,79.12,54,20,17.27
110,Saldanha,ZA,2022-04-04 20:41:08,-33.0117,17.9442,60.85,83,16,6.42
