City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Yinchuan,CN,38.4681,106.2731,68.7,8,36,1.43,scattered clouds
147,Lata,PT,40.1629,-8.3327,60.82,70,100,7.49,overcast clouds
148,Byron Bay,AU,-28.65,153.6167,67.89,87,48,6.58,scattered clouds
149,Georgetown,MY,5.4112,100.3354,82.33,84,20,5.01,few clouds
150,Geraldton,AU,-28.7667,114.6,64.81,72,100,11.5,overcast clouds
151,Lompoc,US,34.6391,-120.4579,55.6,79,100,13.8,haze
152,Det Udom,TH,14.906,105.0784,75.02,45,87,2.17,overcast clouds
153,Faanui,PF,-16.4833,-151.75,82.53,71,93,18.05,overcast clouds
154,Chokurdakh,RU,70.6333,147.9167,-25.33,100,78,4.63,broken clouds
155,Torbay,CA,47.6666,-52.7314,40.28,82,75,25.32,broken clouds
156,Regina,CA,50.4501,-104.6178,45.03,83,100,11.5,overcast clouds
157,Morehead,US,37.2711,-87.1764,46.99,55,75,10.36,broken clouds
158,Katobu,ID,-4.9408,122.5276,74.77,92,100,2.55,overcast clouds
159,Husavik,IS,66.0449,-17.3389,29.1,72,33,6.15,scattered clouds
160,Barroso,BR,-21.1869,-43.9758,78.98,71,68,6.06,broken clouds
161,Axim,GH,4.8699,-2.2405,84.43,72,100,11.77,overcast clouds
162,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,76,56,22.93,broken clouds
163,Ulaanbaatar,MN,47.9077,106.8832,30.33,69,0,8.95,clear sky
164,Nanortalik,GL,60.1432,-45.2371,32.38,72,10,4.99,clear sky
165,Hovd,MN,48.0056,91.6419,42.04,23,0,11.23,clear sky
166,Nikolskoye,RU,59.7035,30.7861,46.29,78,100,10.16,overcast clouds
167,Asau,RO,46.4333,26.4,68.92,70,94,6.46,overcast clouds
168,Daru,PG,-9.0763,143.2092,79.74,81,99,6.55,overcast clouds
169,Manzanillo,CU,20.3433,-77.1167,83.75,57,86,3.74,overcast clouds
170,Ambilobe,MG,-13.2,49.05,76.01,90,100,1.34,light rain
171,Brandon,US,27.9378,-82.2859,70.97,47,0,8.99,clear sky
172,Vikhorevka,RU,56.1201,101.1636,33.39,93,100,9.04,light snow
173,Kokopo,PG,-4.352,152.2633,78.06,82,35,5.08,scattered clouds
174,Tuy Hoa,VN,13.0833,109.3,71.55,89,63,5.32,broken clouds
175,Buala,SB,-8.145,159.5921,79.07,83,49,5.03,light rain
176,Castro,BR,-24.7911,-50.0119,77.54,59,75,7.78,broken clouds
177,Bayonet Point,US,28.3267,-82.6834,70.23,50,97,3.0,overcast clouds
178,Catacocha,EC,-4.0667,-79.6333,66.49,75,90,2.08,light rain
179,Saskylakh,RU,71.9167,114.0833,-12.93,97,34,2.04,scattered clouds
180,Kodiak,US,57.79,-152.4072,27.91,43,0,13.8,clear sky
181,Bantry,IE,51.6833,-9.45,47.79,51,93,12.03,overcast clouds
182,Lloydminster,CA,53.2835,-110.0016,39.42,60,75,23.02,broken clouds
183,Esperance,AU,-33.8667,121.9,55.24,55,22,2.8,few clouds
184,Altay,CN,47.8667,88.1167,37.98,63,18,6.31,few clouds
185,Hecun,CN,36.5333,114.1111,71.37,32,1,5.7,clear sky
186,Salalah,OM,17.0151,54.0924,82.49,78,0,3.44,clear sky
187,Yushu,CN,44.8,126.5333,50.09,24,81,7.83,broken clouds
188,Oranjestad,AW,12.524,-70.027,84.15,61,20,23.02,few clouds
189,Barra Patuca,HN,15.8,-84.2833,80.62,77,97,11.95,overcast clouds
190,Margate,GB,51.3813,1.3862,52.7,52,64,1.01,broken clouds
191,Maragogi,BR,-9.0122,-35.2225,82.85,77,87,11.03,overcast clouds
192,Egvekinot,RU,66.3167,-179.1667,-7.89,93,92,5.46,overcast clouds
193,Atuona,PF,-9.8,-139.0333,78.75,81,25,22.32,light rain
194,Ejea De Los Caballeros,ES,42.1263,-1.1372,61.02,41,68,19.55,broken clouds
