City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Hualmay,PE,73.02,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
363,Phuket,TH,88.09,few clouds,8.0,98.25,The Surin
364,Cairns,AU,76.95,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
365,Bandarbeyla,SO,81.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
368,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
370,Talipparamba,IN,81.25,very heavy rain,12.05,75.35,RAMIS RESIDENCY
371,Sierra Vista,US,73.72,clear sky,31.5545,-110.3037,Gateway Studio Suites
373,Treinta Y Tres,UY,79.81,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
379,Nabire,ID,75.92,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
382,Kavaratti,IN,84.27,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
383,Balkanabat,TM,76.05,overcast clouds,39.5108,54.3671,Nebitchi Hotel
387,Hirara,JP,72.09,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
388,Puerto Ayacucho,VE,89.47,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
390,Kudahuvadhoo,MV,85.03,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
391,Mabaruma,GY,86.0,broken clouds,8.2,-59.7833,Monty Brooms Guest House
396,Nanga Eboko,CM,82.35,light rain,4.6833,12.3667,Motel Papi Palace
398,Champerico,GT,86.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
399,Sambava,MG,78.35,light rain,-14.2667,50.1667,Melrose
400,Romitan,UZ,71.55,clear sky,39.9343,64.3814,Hotel Temur
402,Mwene-Ditu,CD,74.71,light rain,-7.0,23.45,Hôtel Kamas
403,Ambunti,PG,74.07,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
405,Cordoba,AR,80.76,broken clouds,-31.4135,-64.1811,Hotel Sussex
413,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
414,Antalaha,MG,77.0,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
417,Langsa,ID,75.74,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
418,Lubango,AO,78.66,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
420,Bien Hoa,VN,82.38,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
422,Altar,MX,78.93,scattered clouds,30.7,-111.8167,Hotel Maria Elena
426,Musoma,TZ,75.33,few clouds,-1.5,33.8,New Peninsula Hotel
427,Pakxan,LA,77.72,clear sky,18.3778,103.6601,Kong Kham Pheng Guesthouse
430,Chibuto,MZ,72.5,overcast clouds,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
432,Manadhoo,MV,84.67,overcast clouds,5.7667,73.3833,Bon Abri maldives
433,Manati,PR,86.18,broken clouds,18.4275,-66.4921,Manati World Point Inn
434,Cape Canaveral,US,70.0,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
435,Bandar-E Lengeh,IR,82.51,haze,26.5579,54.8807,کافی نت پارس
440,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
441,Santa Isabel Do Rio Negro,BR,79.43,overcast clouds,-0.4139,-65.0192,Hotel GSA
444,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
446,San Luis,AR,80.85,clear sky,-33.295,-66.3356,Huarpes Hotel
448,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
450,Mandapeta,IN,86.34,broken clouds,16.8667,81.9333,Sri satyanarayana vilas kokas Lodge
453,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
455,Ugoofaaru,MV,84.34,overcast clouds,5.6667,73.0,Ungoofaaru Inn
457,Honiara,SB,77.18,broken clouds,-9.4333,159.95,Heritage Park Hotel
460,Dhidhdhoo,MV,85.14,overcast clouds,6.8833,73.1,Dhidhoo beach
467,Pasni,PK,82.27,broken clouds,25.2631,63.471,Kashmiri Hotal
475,Vao,NC,77.41,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
476,Santo Antonio Do Ica,BR,83.28,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
477,Nakasongola,UG,78.51,broken clouds,1.3089,32.4564,Norena Hotel Nakasongola
478,Borba,BR,82.56,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
481,Paredon,MX,84.0,broken clouds,16.0333,-93.8667,Hotel Principal Paredon
482,Farafangana,MG,75.79,scattered clouds,-22.8167,47.8333,Miarina
485,Aksu,CN,74.19,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
488,Kieta,PG,78.55,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
